"Match.ID","Home.Team.Init","Away.Team.Init","Home.Team.Name","Away.Team.Name","Match.Date","Home.Team.Goals","Away.Team.Goals"
1,"KAR","LOV","HCB Karviná","HK FCC Mesto Lovosice",2018-11-21,33,32
2,"BRN","JIC","SKKP Handball Brno","HBC Ronal Jicín",2018-11-21,28,26
3,"KOP","DUK","KH Koprivnice","HC Dukla Praha",2018-11-24,31,22
4,"ZUB","HRA","HC ROBE Zubrí","TJ Cement Hranice",2018-11-24,24,21
5,"PLZ","NOV","Talent ROBSTAV-M.A.T.Plzen","TJ Sokol Nové Veselí",2018-11-25,26,22
6,"FRM","LIT","Pepino SKP Frýdek-Místek","TJ Tatran Litovel",2018-11-25,38,26
7,"HRA","FRM","TJ Cement Hranice","Pepino SKP Frýdek-Místek",2018-11-17,25,33
8,"LIT","PLZ","TJ Tatran Litovel","Talent ROBSTAV-M.A.T.Plzen",2018-11-17,21,37
9,"NOV","KOP","TJ Sokol Nové Veselí","KH Koprivnice",2018-11-17,26,25
10,"JIC","ZUB","HBC Ronal Jicín","HC ROBE Zubrí",2018-11-17,32,29
11,"LOV","BRN","HK FCC Mesto Lovosice","SKKP Handball Brno",2018-11-17,39,34
12,"DUK","KAR","HC Dukla Praha","HCB Karviná",2019-02-20,27,28
13,"ZUB","LOV","HC ROBE Zubrí","HK FCC Mesto Lovosice",2018-11-07,29,26
14,"NOV","DUK","TJ Sokol Nové Veselí","HC Dukla Praha",2018-11-10,25,22
15,"KOP","LIT","KH Koprivnice","TJ Tatran Litovel",2018-11-10,33,14
16,"BRN","KAR","SKKP Handball Brno","HCB Karviná",2018-11-10,22,31
17,"PLZ","HRA","Talent ROBSTAV-M.A.T.Plzen","TJ Cement Hranice",2018-11-11,35,25
18,"FRM","JIC","Pepino SKP Frýdek-Místek","HBC Ronal Jicín",2018-11-11,36,30
19,"HRA","KOP","TJ Cement Hranice","KH Koprivnice",2018-11-03,23,28
20,"DUK","BRN","HC Dukla Praha","SKKP Handball Brno",2018-11-03,34,21
21,"LOV","FRM","HK FCC Mesto Lovosice","Pepino SKP Frýdek-Místek",2018-11-03,35,29
22,"LIT","NOV","TJ Tatran Litovel","TJ Sokol Nové Veselí",2018-11-03,21,29
23,"JIC","PLZ","HBC Ronal Jicín","Talent ROBSTAV-M.A.T.Plzen",2018-11-03,29,20
24,"KAR","ZUB","HCB Karviná","HC ROBE Zubrí",2018-11-04,30,23
25,"PLZ","LOV","Talent ROBSTAV-M.A.T.Plzen","HK FCC Mesto Lovosice",2018-10-30,32,28
26,"KOP","JIC","KH Koprivnice","HBC Ronal Jicín",2018-10-31,23,31
27,"FRM","KAR","Pepino SKP Frýdek-Místek","HCB Karviná",2018-10-31,10,0
28,"NOV","HRA","TJ Sokol Nové Veselí","TJ Cement Hranice",2018-10-31,25,26
