"Home.Team.Name","Result","Away.Team.Name"
"Hranice","23 : 26","Karviná"
"Zubrí","31 : 24","Plzen"
"Lovosice","26 : 27","Dukla"
"Dukla","31 : 25","Zubrí"
"Karviná","25 : 24","Lovosice"
"Plzen","21 : 20","Hranice"
"Plzen","29 : 30","Dukla"
"Zubrí","22 : 21","Karviná"
"Hranice","24 : 24","Lovosice"
"Dukla","25 : 14","Hranice"
"Lovosice","27 : 23","Zubrí"
"Karviná","23 : 22","Plzen"
"Dukla","28 : 23","Karviná"
"Plzen","24 : 24","Lovosice"
"Hranice","27 : 30","Zubrí"
"Dukla","32 : 31","Lovosice"
"Plzen","29 : 25","Zubrí"
"Karviná","24 : 20","Hranice"
"Hranice","25 : 30","Plzen"
"Zubrí","20 : 21","Dukla"
"Lovosice","38 : 26","Karviná"
"Lovosice","28 : 21","Hranice"
"Dukla","27 : 23","Plzen"
"Karviná","25 : 25","Zubrí"
"Plzen","30 : 25","Karviná"
"Zubrí","28 : 28","Lovosice"
"Hranice","23 : 27","Dukla"
"Lovosice","22 : 20","Plzen"
"Zubrí","10 : 0 k.","Hranice"
"Karviná","26 : 25","Dukla"
"Jicín","29 : 28","Koprivnice"
"Brno","31 : 26","Trebon"
"Frýdek-Místek","32 : 28","Prerov"
"Prerov","28 : 28","Jicín"
"Trebon","23 : 22","Frýdek-Místek"
"Koprivnice","34 : 24","Brno"
"Brno","40 : 36","Frýdek-Místek"
"Jicín","35 : 17","Trebon"
"Koprivnice","30 : 23","Prerov"
"Trebon","24 : 20","Koprivnice"
"Jicín","27 : 26","Frýdek-Místek"
"Prerov","37 : 23","Brno"
"Brno","32 : 35","Jicín"
"Prerov","27 : 23","Trebon"
"Frýdek-Místek","25 : 19","Koprivnice"
"Koprivnice","35 : 24","Jicín"
"Prerov","22 : 35","Frýdek-Místek"
"Trebon","27 : 20","Brno"
"Jicín","28 : 15","Prerov"
"Brno","40 : 31","Koprivnice"
"Frýdek-Místek","26 : 24","Trebon"
"Trebon","26 : 27","Jicín"
"Prerov","34 : 27","Koprivnice"
"Frýdek-Místek","38 : 30","Brno"
"Brno","32 : 31","Prerov"
"Koprivnice","28 : 22","Trebon"
"Frýdek-Místek","32 : 23","Jicín"
"Trebon","25 : 22","Prerov"
"Koprivnice","27 : 24","Frýdek-Místek"
"Jicín","34 : 24","Brno"
"Prerov","28 : 41","Dukla"
"Trebon","23 : 27","Lovosice"
"Brno","27 : 37","Zubrí"
"Hranice","31 : 28","Koprivnice"
"Plzen","28 : 18","Karviná"
"Frýdek-Místek","34 : 29","Jicín"
"Jicín","37 : 24","Prerov"
"Lovosice","27 : 25","Hranice"
"Dukla","37 : 24","Brno"
"Koprivnice","30 : 28","Frýdek-Místek"
"Zubrí","24 : 21","Plzen"
"Karviná","28 : 29","Trebon"
"Trebon","24 : 31","Zubrí"
"Plzen","28 : 18","Dukla"
"Hranice","23 : 27","Karviná"
"Jicín","33 : 26","Koprivnice"
"Prerov","32 : 28","Brno"
"Frýdek-Místek","35 : 31","Lovosice"
"Dukla","24 : 17","Trebon"
"Plzen","34 : 19","Brno"
"Koprivnice","30 : 35","Prerov"
"Lovosice","32 : 25","Jicín"
"Karviná","33 : 30","Frýdek-Místek"
"Hranice","22 : 26","Zubrí"
"Koprivnice","31 : 31","Lovosice"
"Trebon","32 : 21","Brno"
"Jicín","28 : 28","Karviná"
"Prerov","24 : 38","Plzen"
"Hranice","33 : 31","Dukla"
"Frýdek-Místek","27 : 34","Zubrí"
"Plzen","41 : 19","Trebon"
"Dukla","28 : 29","Frýdek-Místek"
"Lovosice","36 : 27","Prerov"
"Zubrí","27 : 18","Jicín"
"Hranice","36 : 24","Brno"
"Karviná","29 : 17","Koprivnice"
"Jicín","18 : 24","Dukla"
"Koprivnice","25 : 28","Zubrí"
"Lovosice","37 : 25","Karviná"
"Hranice","28 : 24","Plzen"
"Frýdek-Místek","38 : 22","Brno"
"Prerov","34 : 30","Trebon"
"Dukla","34 : 24","Koprivnice"
"Brno","24 : 24","Jicín"
"Zubrí","33 : 24","Lovosice"
"Karviná","40 : 25","Prerov"
"Hranice","34 : 23","Trebon"
"Plzen","39 : 27","Frýdek-Místek"
"Jicín","22 : 20","Plzen"
"Lovosice","31 : 28","Dukla"
"Koprivnice","26 : 25","Brno"
"Karviná","29 : 24","Zubrí"
"Hranice","31 : 24","Prerov"
"Frýdek-Místek","37 : 24","Trebon"
"Dukla","32 : 28","Karviná"
"Plzen","32 : 25","Koprivnice"
"Brno","23 : 38","Lovosice"
"Zubrí","33 : 20","Prerov"
"Hranice","31 : 26","Frýdek-Místek"
"Trebon","21 : 31","Jicín"
"Karviná","38 : 30","Brno"
"Lovosice","33 : 22","Plzen"
"Koprivnice","29 : 31","Trebon"
"Zubrí","24 : 26","Dukla"
"Hranice","32 : 17","Jicín"
"Prerov","32 : 29","Frýdek-Místek"
"Dukla","44 : 26","Prerov"
"Karviná","25 : 24","Plzen"
"Lovosice","40 : 24","Trebon"
"Jicín","32 : 19","Frýdek-Místek"
"Zubrí","38 : 28","Brno"
"Koprivnice","28 : 27","Hranice"
"Trebon","32 : 43","Karviná"
"Hranice","23 : 29","Lovosice"
"Frýdek-Místek","37 : 25","Koprivnice"
"Prerov","29 : 27","Jicín"
"Brno","27 : 39","Dukla"
"Plzen","23 : 24","Zubrí"
"Brno","29 : 25","Prerov"
"Lovosice","32 : 26","Frýdek-Místek"
"Zubrí","35 : 22","Trebon"
"Koprivnice","25 : 25","Jicín"
"Dukla","24 : 23","Plzen"
"Karviná","24 : 20","Hranice"
"Trebon","22 : 35","Dukla"
"Brno","28 : 45","Plzen"
"Zubrí","33 : 29","Hranice"
"Jicín","28 : 33","Lovosice"
"Prerov","25 : 30","Koprivnice"
"Frýdek-Místek","25 : 26","Karviná"
"Lovosice","33 : 24","Koprivnice"
"Brno","35 : 29","Trebon"
"Zubrí","31 : 30","Frýdek-Místek"
"Dukla","24 : 26","Hranice"
"Karviná","24 : 24","Jicín"
"Plzen","40 : 25","Prerov"
"Frýdek-Místek","30 : 28","Dukla"
"Jicín","27 : 19","Zubrí"
"Koprivnice","27 : 33","Karviná"
"Prerov","26 : 33","Lovosice"
"Trebon","25 : 31","Plzen"
"Brno","28 : 36","Hranice"
"Dukla","30 : 21","Jicín"
"Zubrí","37 : 24","Koprivnice"
"Karviná","27 : 27","Lovosice"
"Trebon","26 : 25","Prerov"
"Brno","35 : 33","Frýdek-Místek"
"Plzen","24 : 26","Hranice"
"Koprivnice","20 : 33","Dukla"
"Trebon","23 : 23","Hranice"
"Prerov","34 : 40","Karviná"
"Frýdek-Místek","23 : 35","Plzen"
"Jicín","34 : 28","Brno"
"Lovosice","25 : 22","Zubrí"
"Dukla","30 : 25","Lovosice"
"Trebon","33 : 20","Frýdek-Místek"
"Brno","40 : 23","Koprivnice"
"Plzen","26 : 23","Jicín"
"Zubrí","23 : 22","Karviná"
"Prerov","23 : 27","Hranice"
"Jicín","28 : 24","Trebon"
"Lovosice","32 : 20","Brno"
"Koprivnice","30 : 34","Plzen"
"Karviná","30 : 20","Dukla"
"Prerov","24 : 28","Zubrí"
"Frýdek-Místek","25 : 31","Hranice"
"Plzen","27 : 22","Lovosice"
"Trebon","32 : 27","Koprivnice"
"Brno","30 : 31","Karviná"
"Frýdek-Místek","22 : 33","Prerov"
"Jicín","20 : 18","Hranice"
"Dukla","34 : 27","Zubrí"
