"Local.Match.ID","Home.Team.Name","Away.Team.Name","Home.Team.Goals","Away.Team.Goals","Match.Date","Halftime.Score","Attendance","Seven.m.goals","Referees","Home.Coach","Home.Assistant","Away.Coach","Away.Assistant","Phase","Season","CT.Broadcast"
1,"Prerov","Karviná",29,30,"23.5.2012","17 : 10",100,"2 : 2","Vangelis Simu, Jirí Novotný","Miroslav Frank","Jirí Mužík","Rastislav Trtík","Roman Farár","1till6placeMatch","2011/2012",0
2,"Dukla","Lovosice",25,26,"26.5.2012","10 : 12",318,"2 : 3","Jirí Opava, Pavel Válek","Pavel Pauza","Milan Kotrc","Vojtech Srba","Pavel Haken","1till6placeMatch","2011/2012",0
3,"Zubrí","Jicín",30,21,"27.5.2012","16 : 8",1500,"0 : 0","Michal Hanák, Petr Novák","Jirí Mika","Michal Balhárek","Aleš Babák","Petr Kyncl","1till6placeMatch","2011/2012",1
4,"Lovosice","Prerov",31,27,"18.5.2012","16 : 8",682,"0 : 2","Lubomír Kohout, Vladimír Vaník","Vojtech Srba","Milan Berka","Miroslav Frank","Richard Bucek","1till6placeMatch","2011/2012",0
5,"Karviná","Zubrí",31,29,"19.5.2012","16 : 10",720,"3 : 1","Václav Horácek, Jirí Novotný","Rastislav Trtík","Roman Farár","Jirí Mika","Michal Balhárek","1till6placeMatch","2011/2012",0
6,"Jicín","Dukla",25,25,"20.5.2012","16 : 13",480,"1 : 3","Radoslav Kavulic, Libor Skružný","Aleš Babák","Petr Kyncl","Pavel Pauza","Jan Krouský","1till6placeMatch","2011/2012",1
7,"Lovosice","Jicín",30,23,"11.5.2012","9 : 14",515,"1 : 3","Radoslav Kavulic, Libor Skružný","Vojtech Srba","Pavel Haken","Aleš Babák","Petr Kyncl","1till6placeMatch","2011/2012",0
8,"Dukla","Karviná",26,27,"12.5.2012","13 : 13",185,"2 : 1","Milan Hájek, Karel Macho","Pavel Pauza","Milan Kotrc","Rastislav Trtík","Martin Kostelník","1till6placeMatch","2011/2012",0
9,"Prerov","Zubrí",19,28,"13.5.2012","6 : 14",235,"2 : 3","Luboš Pavlícek, Rostislav Tokoš","Miroslav Frank","Jirí Mužík","Jirí Mika","Michal Balhárek","1till6placeMatch","2011/2012",0
10,"Jicín","Prerov",25,21,"7.5.2012","11 : 11",515,"3 : 1","Jirí Vetrovský, Martin Zych","Aleš Babák","Petr Kyncl","Miroslav Frank","Richard Bucek","1till6placeMatch","2011/2012",0
11,"Zubrí","Dukla",37,34,"8.5.2012","20 : 16",1100,"6 : 5","Václav Horácek, Jirí Novotný","Jirí Mika","Michal Balhárek","Pavel Pauza","Jan Krouský","1till6placeMatch","2011/2012",1
12,"Karviná","Lovosice",28,22,"8.5.2012","13 : 12",506,"2 : 3","Marek Becicka, Jirí Horák","Rastislav Trtík","Roman Farár","Vojtech Srba","Pavel Haken","1till6placeMatch","2011/2012",0
13,"Lovosice","Zubrí",27,23,"5.5.2012","18 : 7",780,"4 : 1","Michal Hanák, Petr Novák","Vojtech Srba","Pavel Haken","Jirí Mika","Michal Balhárek","1till6placeMatch","2011/2012",0
14,"Prerov","Dukla",24,29,"6.5.2012","11 : 19",126,"1 : 1","Radoslav Kavulic, Libor Skružný","Miroslav Frank","Jirí Mužík","Pavel Pauza","Jan Krouský","1till6placeMatch","2011/2012",0
15,"Jicín","Karviná",32,23,"6.5.2012","14 : 9",600,"3 : 3","Bedrich Frieser, Lukáš Frieser","Aleš Babák","Petr Kyncl","Rastislav Trtík","Roman Farár","1till6placeMatch","2011/2012",0
16,"Lovosice","Dukla",26,21,"1.5.2012","15 : 13",600,"3 : 0","Václav Horácek, Jirí Novotný","Vojtech Srba","Pavel Haken","Pavel Pauza","Milan Kotrc","1till6placeMatch","2011/2012",1
17,"Jicín","Zubrí",27,27,"1.5.2012","12 : 16",599,"3 : 3","Milan Hájek, Karel Macho","Petr Babák","Petr Kyncl","Jirí Mika","Michal Balhárek","1till6placeMatch","2011/2012",0
18,"Karviná","Prerov",40,29,"1.5.2012","24 : 14",360,"0 : 0","Pavel Novotný, Petr Samek","Rastislav Trtík","Roman Farár",,"Jirí Mužík","1till6placeMatch","2011/2012",0
19,"Prerov","Lovosice",24,32,"27.4.2012","13 : 16",113,"2 : 2","Jirí Novotný, Vangelis Simu","Miroslav Frank","Jirí Mužík","Vojtech Srba","Pavel Haken","1till6placeMatch","2011/2012",0
20,"Dukla","Jicín",34,24,"28.4.2012","18 : 12",115,"3 : 3","Marek Becicka, Jirí Horák","Pavel Pauza","Milan Kotrc","Aleš Babák","Petr Kyncl","1till6placeMatch","2011/2012",0
21,"Zubrí","Karviná",27,27,"29.4.2012","11 : 13",800,"9 : 4","Jirí Opava, Pavel Válek","Jirí Mika","Michal Balhárek","Rastislav Trtík","Roman Farár","1till6placeMatch","2011/2012",1
22,"Jicín","Lovosice",26,26,"20.4.2012","12 : 13",560,"4 : 2","Jirí Opava, Pavel Válek","Aleš Babák","Petr Kyncl","Vojtech Srba","Pavel Haken","1till6placeMatch","2011/2012",0
23,"Karviná","Dukla",22,28,"21.4.2012","8 : 13",758,"2 : 1","Radoslav Kavulic, Libor Skružný","Rastislav Trtík","Roman Farár","Pavel Pauza","Milan Kotrc","1till6placeMatch","2011/2012",1
24,"Zubrí","Prerov",26,19,"22.4.2012","15 : 9",700,"1 : 2","Petr Halada, Dalibor Pavlát","Jirí Mika","Michal Balhárek","Miroslav Frank","Jirí Mužík","1till6placeMatch","2011/2012",0
25,"Dukla","Zubrí",25,29,"18.4.2012","13 : 14",450,"4 : 3","Jirí Opava, Pavel Válek","Pavel Pauza","Milan Kotrc","Jirí Mika","Michal Balhárek","1till6placeMatch","2011/2012",0
26,"Lovosice","Karviná",33,28,"18.4.2012","13 : 12",420,"3 : 3","Milan Hájek, Karel Macho","Vojtech Srba","Pavel Haken","Rastislav Trtík","Roman Farár","1till6placeMatch","2011/2012",0
27,"Prerov","Jicín",28,39,"18.4.2012","13 : 18",148,"3 : 0","Bedrich Frieser, Lukáš Frieser","Miroslav Frank","Jirí Mužík","Aleš Babák","Petr Kyncl","1till6placeMatch","2011/2012",0
28,"Dukla","Prerov",36,22,"14.4.2012","19 : 12",135,"1 : 2","Bedrich Frieser, Lukáš Frieser","Pavel Pauza","Milan Kotrc","Miroslav Frank","Richard Bucek","1till6placeMatch","2011/2012",0
29,"Zubrí","Lovosice",27,19,"14.4.2012","14 : 9",800,"1 : 3","Václav Horácek, Jirí Novotný","Jirí Mika","Michal Balhárek","Vojtech Srba","Pavel Haken","1till6placeMatch","2011/2012",0
30,"Karviná","Jicín",35,30,"15.4.2012","19 : 12",760,"5 : 2","Michal Hanák, Petr Novák","Rastislav Trtík","Roman Farár","Aleš Babák","Petr Kyncl","1till6placeMatch","2011/2012",1
