"Home.Team.Name","Result","Away.Team.Name","Match.Date","Halftime.Score","Attendance","Seven.m.goals","Referees","Home.Coach","Home.Assistant","Away.Coach","Away.Assistant","Phase"
"Hranice","23 : 26","Karviná","3.6.2011","13 : 14","150","4 : 0","Lubomír Kohout, Vladimír Vaník","Libor Hrabal","Šárka Alexová","Martin Kostelník","Roman Farár","1till6placeMatch"
"Zubrí","31 : 24","Plzen","4.6.2011","18 : 14","860","2 : 2","Pavel Nesvadba, Vangelis Simu","Jirí Mika","Michal Balhárek","Vladimír Haber","Stanislav Raizl","1till6placeMatch"
"Lovosice","26 : 27","Dukla","5.6.2011","16 : 15","94616","2 : 3","Václav Kohout, Petr Novák","Vojtech Srba","Pavel Haken","Pavel Pauza","Jan Krouský","1till6placeMatch"
"Dukla","31 : 25","Zubrí","28.5.2011","15 : 11","340","3 : 4","Václav Horácek, Jirí Novotný","Pavel Pauza","Milan Kotrc","Jirí Mika","Michal Balhárek","1till6placeMatch"
"Karviná","25 : 24","Lovosice","29.5.2011","14 : 15","720","1 : 1","Radoslav Kavulic, Libor Skružný","Martin Kostelník","Roman Farár","Vojtech Srba","Pavel Haken","1till6placeMatch"
"Plzen","21 : 20","Hranice","29.5.2011","10 : 10","120","2 : 3","Bedrich Frieser, Lukáš Frieser","Vladimír Haber","Stanislav Raizl","Libor Hrabal","Šárka Alexová","1till6placeMatch"
"Plzen","29 : 30","Dukla","20.5.2011","13 : 17","300","2 : 4","Dalibor Pavlát, Petr Pešek","Vladimír Haber","Stanislav Raizl","Pavel Pauza","Jan Krouský","1till6placeMatch"
"Zubrí","22 : 21","Karviná","21.5.2011","13 : 9","800","3 : 2","Václav Kohout, Petr Novák","Jirí Mika","Michal Balhárek","Martin Kostelník","Roman Farár","1till6placeMatch"
"Hranice","24 : 24","Lovosice","22.5.2011","12 : 11","170","1 : 3","Václav Horácek, Jirí Novotný","Libor Hrabal","Šárka Alexová","Vojtech Srba","Pavel Haken","1till6placeMatch"
"Dukla","25 : 14","Hranice","14.5.2011","10 : 7","230","5 : 0","Pavel Nesvadba, Vangelis Simu","Pavel Pauza","Milan Kotrc","Libor Hrabal","Šárka Alexová","1till6placeMatch"
"Lovosice","27 : 23","Zubrí","15.5.2011","10 : 11","1054","3 : 3","Milan Hájek, Karel Macho","Vojtech Srba","Pavel Haken","Jirí Mika","Michal Balhárek","1till6placeMatch"
"Karviná","23 : 22","Plzen","15.5.2011","14 : 11","682","2 : 2","Michal Hanák, Jan Kosmák","Martin Kostelník","Roman Farár","Vladimír Haber","Stanislav Raizl","1till6placeMatch"
"Dukla","28 : 23","Karviná","7.5.2011","12 : 13","240","0 : 0","Radoslav Kavulic, Libor Skružný","Pavel Pauza","Milan Kotrc","Martin Kostelník","Roman Farár","1till6placeMatch"
"Plzen","24 : 24","Lovosice","7.5.2011","12 : 11","450","3 : 2","Václav Kohout, Petr Novák","Vladimír Haber","Stanislav Raizl","Vojtech Srba","Pavel Haken","1till6placeMatch"
"Hranice","27 : 30","Zubrí","8.5.2011","11 : 17","290","3 : 2","Jirí Opava, Pavel Válek","Libor Hrabal","Šárka Alexová","Jirí Mika","Michal Balhárek","1till6placeMatch"
"Dukla","32 : 31","Lovosice","30.4.2011","13 : 12","420","0 : 4","Jirí Opava, Pavel Válek","Pavel Pauza","Milan Kotrc","Vojtech Srba","Pavel Haken","1till6placeMatch"
"Plzen","29 : 25","Zubrí","30.4.2011","14 : 7","450","3 : 4","Michal Hanák, Jan Kosmák","Vladimír Haber","Stanislav Raizl","Jirí Mika","Michal Balhárek","1till6placeMatch"
"Karviná","24 : 20","Hranice","1.5.2011","11 : 10","660","0 : 0","Marek Becicka, Jirí Horák","Martin Kostelník","Roman Farár","Jan Hegar","Bretislav Žoch","1till6placeMatch"
"Hranice","25 : 30","Plzen","22.4.2011","12 : 16","180","3 : 1","Pavel Nesvadba, Vangelis Simu","Jan Hegar","Bretislav Žoch","Vladimír Haber","Stanislav Raizl","1till6placeMatch"
"Zubrí","20 : 21","Dukla","23.4.2011","11 : 11","1000","2 : 0","Milan Hájek, Karel Macho","Jirí Mika","Radim Balhárek","Pavel Pauza","Milan Kotrc","1till6placeMatch"
