"Home.Team.Name","Away.Team.Name","Home.Team.Goals","Away.Team.Goals","Match.Date","Halftime.Score","Attendance","Seven.m.goals","Referees","Home.Coach","Home.Assistant","Away.Coach","Away.Assistant","Phase"
"Lovosice","Hranice",32,29,"25.5.2014","12 : 17","421","1 : 2","Radoslav Kavulic, Libor Skružný","Vladimír Šuma","Pavel Haken","Libor Hrabal","Martin Schober","1till6placeMatch"
"Dukla","Jicín",26,18,"25.5.2014","14 : 6","130","2 : 5","Bedrich Frieser, Lukáš Frieser","Jirí Kotrc","Daniel Curda","Aleš Babák","Petr Kyncl","1till6placeMatch"
"Plzen","Frýdek-Místek",30,27,"25.5.2014","15 : 13","520","0 : 1","Bohumil Bruna, Petr Halada","Martin Šetlík","Stanislav Raizl","Aleš Chrastina","Petr Mazur","1till6placeMatch"
"Frýdek-Místek","Dukla",17,26,"17.5.2014","9 : 11","432","5 : 4","Martin Kosa, Pavel Švidernoch","Aleš Chrastina","Petr Mazur","Jirí Kotrc","Daniel Curda","1till6placeMatch"
"Jicín","Lovosice",27,27,"17.5.2014","14 : 14","460","2 : 3","Milan Hájek, Karel Macho","Aleš Babák","Petr Kyncl","Vladimír Šuma","Pavel Haken","1till6placeMatch"
"Hranice","Plzen",28,23,"17.5.2014","12 : 10","215","4 : 0","Jirí Opava, Pavel Válek","Libor Hrabal","Martin Schober","Martin Šetlík","Stanislav Raizl","1till6placeMatch"
"Dukla","Lovosice",29,21,"10.5.2014","11 : 11","155","2 : 3","Marek Becicka, Jirí Horák","Jirí Kotrc","Daniel Curda","Vladimír Šuma","Pavel Haken","1till6placeMatch"
"Plzen","Jicín",30,18,"11.5.2014","17 : 10","1150","1 : 3","Jirí Králícek, Milan Letev","Martin Šetlík","Stanislav Raizl","Aleš Babák","Petr Kyncl","1till6placeMatch"
"Frýdek-Místek","Hranice",26,27,"11.5.2014","11 : 12","498","3 : 4","Václav Horácek, Jirí Novotný","Aleš Chrastina","Petr Mazur","Libor Hrabal","Tomáš Galus","1till6placeMatch"
"Lovosice","Plzen",28,29,"3.5.2014","17 : 12","650","0 : 0","Václav Horácek, Jirí Novotný","Vladimír Šuma","Pavel Haken","Martin Šetlík","Stanislav Raizl","1till6placeMatch"
"Hranice","Dukla",22,20,"4.5.2014","11 : 12","320","2 : 1","Milan Hájek, Karel Macho","Libor Hrabal","Martin Schober","Pavel Pauza","Jirí Kotrc","1till6placeMatch"
"Jicín","Frýdek-Místek",25,23,"4.5.2014","13 : 11","490","3 : 0","Radoslav Kavulic, Libor Skružný","Aleš Babák","Petr Kyncl","Aleš Chrastina","Petr Mazur","1till6placeMatch"
"Hranice","Jicín",26,21,"26.4.2014","16 : 10","190","1 : 3","Jirí Opava, Pavel Válek","Libor Hrabal","Martin Schober","Aleš Babák","Petr Kyncl","1till6placeMatch"
"Dukla","Plzen",13,18,"26.4.2014","9 : 10","210","0 : 1","Dalibor Pavlát, Ludek Tocík","Pavel Pauza","Jirí Kotrc","Martin Šetlík","Stanislav Raizl","1till6placeMatch"
"Frýdek-Místek","Lovosice",25,28,"27.4.2014","9 : 16","478","2 : 4","Marek Becicka, Jirí Horák","Aleš Chrastina","Petr Mazur","Vladimír Šuma","Pavel Haken","1till6placeMatch"
"Frýdek-Místek","Plzen",23,31,"18.4.2014","12 : 15","495","1 : 1","Jirí Králícek, Milan Letev","Aleš Chrastina","Petr Mazur","Martin Šetlík","Stanislav Raizl","1till6placeMatch"
"Jicín","Dukla",23,20,"18.4.2014","13 : 9","565","3 : 1","Václav Horácek, Jirí Novotný","Aleš Babák","Petr Kyncl","Pavel Pauza","Jirí Kotrc","1till6placeMatch"
"Hranice","Lovosice",29,27,"20.4.2014","15 : 13","290","2 : 4","Radoslav Kavulic, Libor Skružný","Libor Hrabal","Martin Schober","Vladimír Šuma","Pavel Haken","1till6placeMatch"
"Dukla","Frýdek-Místek",28,27,"12.4.2014","10 : 13","110","2 : 2","Jirí Opava, Pavel Válek","Pavel Pauza","Jirí Kotrc","Aleš Chrastina","Petr Mazur","1till6placeMatch"
"Lovosice","Jicín",28,23,"12.4.2014","13 : 10","523","3 : 3","Milan Hájek, Karel Macho","Vladimír Šuma","Pavel Haken","Aleš Babák","Petr Kyncl","1till6placeMatch"
