"Global.Match.ID","Local.Match.ID","Home.Team.Init","Away.Team.Init","Home.Team.Name","Away.Team.Name","Home.Team.Goals","Away.Team.Goals","Date","Season","Season.Phase","Attendance","Referees","Home.Coach","Home.Assistant","Away.Coach","Away.Assistant","Home.Team.Halftime.Goals","Away.Team.Halftime.Goals","Home.Team.7m.Goals","Away.Team.7m.Goals","HT.Break.Goals","HT.Goalkeepers.Perc","HT.Goalkeepers.Saves","HT.Shots.Acc.Perc","HT.7m.Shots.Acc","AT.Break.Goals","AT.Goalkeepers.Perc","AT.Goalkeepers.Saves","AT.Shots.Acc.Perc","AT.7m.Shots.Acc","Day.Name","Day.Status","Public.Holiday","CT.Broadcast"
1,1,"KAR","LOV","HCB Karviná","HK FCC Mesto Lovosice",33,32,2018-11-21,"2018/2019","RegularPhaseMatch",712,"Milan Hájek, Karel Macho","Marek Michalisko","Jirí Tabara","Roman Jelínek","Pavel Haken",14,13,4,2,,,,,,,,,,,"Wed","WorkingDay",0,0
2,2,"BRN","JIC","SKKP Handball Brno","HBC Ronal Jicín",28,26,2018-11-21,"2018/2019","RegularPhaseMatch",342,"Marek Becicka, Jirí Horák","Andrej Titkov","Pavel Cejka","Aleš Babák","Petr Kyncl",12,11,2,6,,,,,,,,,,,"Wed","WorkingDay",0,1
3,3,"KOP","DUK","KH Koprivnice","HC Dukla Praha",31,22,2018-11-24,"2018/2019","RegularPhaseMatch",530,"Jirí Králícek, Milan Letev","Lubomír Vermirovský","Igor Fulnek","Daniel Curda","Jirí Kotrc",16,11,4,2,,,,,,,,,,,"Sat","Weekend",0,0
4,4,"ZUB","HRA","HC ROBE Zubrí","TJ Cement Hranice",24,21,2018-11-24,"2018/2019","RegularPhaseMatch",915,"Tomáš Kozler, Martin Zych","Dušan Poloz","Zbynek Mizera","Libor Hrabal","Tomáš Pernicka",13,12,3,0,,,,,,,,,,,"Sat","Weekend",0,0
5,5,"PLZ","NOV","Talent ROBSTAV-M.A.T.Plzen","TJ Sokol Nové Veselí",26,22,2018-11-25,"2018/2019","RegularPhaseMatch",820,"Michal Hanák, Luboš Pavlícek","Michal Tonar","Stanislav Raizl","Pavel Hladík","Stanislav Krcál",10,13,2,1,,,,,,,,,,,"Sun","Weekend",0,0
6,6,"FRM","LIT","Pepino SKP Frýdek-Místek","TJ Tatran Litovel",38,26,2018-11-25,"2018/2019","RegularPhaseMatch",232,"Adam Baader, Jirí Novotný","Lubomír Kavka","Petr Mazur","Ivo Vávra","Jirí Macek",21,13,3,0,,,,,,,,,,,"Sun","Weekend",0,0
7,7,"HRA","FRM","TJ Cement Hranice","Pepino SKP Frýdek-Místek",25,33,2018-11-17,"2018/2019","RegularPhaseMatch",153,"Tomáš Bubenícek, Tomáš Petruška","Libor Hrabal","Tomáš Pernicka","Lubomír Kavka","Petr Mazur",12,14,3,1,,,,,,,,,,,"Sat","Weekend",1,0
8,8,"LIT","PLZ","TJ Tatran Litovel","Talent ROBSTAV-M.A.T.Plzen",21,37,2018-11-17,"2018/2019","RegularPhaseMatch",214,"Mojmír Valášek, Jaroslav Vychodil","Ivo Vávra","Jirí Macek","Michal Tonar","Stanislav Raizl",12,19,4,7,,,,,,,,,,,"Sat","Weekend",1,0
9,9,"NOV","KOP","TJ Sokol Nové Veselí","KH Koprivnice",26,25,2018-11-17,"2018/2019","RegularPhaseMatch",380,"Václav Horácek, Jirí Novotný","Pavel Hladík","Stanislav Krcál","Lubomír Vermirovský","Igor Fulnek",16,14,0,6,,,,,,,,,,,"Sat","Weekend",1,0
10,10,"JIC","ZUB","HBC Ronal Jicín","HC ROBE Zubrí",32,29,2018-11-17,"2018/2019","RegularPhaseMatch",690,"Tomáš Kozler, Martin Zych","Aleš Babák","Petr Kyncl","Dušan Poloz","Zbynek Mizera",16,15,1,5,,,,,,,,,,,"Sat","Weekend",1,0
