"Team","Break.Goals","Goalkeepers.Perc","Goalkeepers.Saves","Shots.Acc.Perc","7m.Shots.Acc","Team_Season"
"ZUB",250,47.88,714,56.55,,"ZUB_2009/2010"
"KAR",189,48.07,761,55.56,,"KAR_2009/2010"
"DUK",176,44.62,656,54.14,,"DUK_2009/2010"
"HRA",149,47.03,793,55.58,,"HRA_2009/2010"
"LOV",141,37.45,448,52.97,,"LOV_2009/2010"
"JIC",132,36.54,417,50.03,,"JIC_2009/2010"
"PLZ",100,44.14,607,55.72,,"PLZ_2009/2010"
"FRM",95,39.34,563,48.91,,"FRM_2009/2010"
"TRE",94,38.73,509,46.52,,"TRE_2009/2010"
"DVK",91,37.84,537,43.53,,"DVK_2009/2010"
"KOP",84,36.92,483,51.19,,"KOP_2009/2010"
"PRE",83,40.61,569,50.35,,"PRE_2009/2010"
"ZUB",285,44.67,633,52.07,80.35,"ZUB_2010/2011"
"KAR",149,47.48,765,54.48,73.73,"KAR_2010/2011"
"DUK",243,44.18,634,57.06,72.91,"DUK_2010/2011"
"HRA",171,45.53,663,53.78,60.91,"HRA_2010/2011"
"LOV",148,42.65,613,55.42,71.42,"LOV_2010/2011"
"JIC",219,40.07,555,50.49,62.4,"JIC_2010/2011"
"PLZ",114,41.75,562,54.97,69.13,"PLZ_2010/2011"
"FRM",161,41.94,677,53,75.49,"FRM_2010/2011"
"TRE",93,36.6,541,47.76,64.6,"TRE_2010/2011"
"BRN",76,38.41,665,50.62,79.16,"BRN_2010/2011"
"KOP",86,38.33,598,50.02,76.36,"KOP_2010/2011"
"PRE",88,38.18,619,47.68,70.49,"PRE_2010/2011"
"ZUB",321,49.79,742,57.21,75.99,"ZUB_2011/2012"
"KAR",150,47.08,768,59.53,73.39,"KAR_2011/2012"
"DUK",208,45.04,627,57.35,73.26,"DUK_2011/2012"
"HRA",135,42.72,602,50.93,74.31,"HRA_2011/2012"
"LOV",151,44.75,640,53.59,68.99,"LOV_2011/2012"
"JIC",191,39.15,529,53.39,74.75,"JIC_2011/2012"
"PLZ",100,40.41,508,54.48,71.42,"PLZ_2011/2012"
"FRM",173,38.82,589,53.4,67.36,"FRM_2011/2012"
"TRE",63,35.65,502,42.24,68.08,"TRE_2011/2012"
"BRN",13,45,752,48.68,71.62,"BRN_2011/2012"
"KOP",69,38.75,617,48.23,68.61,"KOP_2011/2012"
"PRE",92,35,529,53.49,72.35,"PRE_2011/2012"
"ZUB",201,44.99,652,53.99,72.07,"ZUB_2012/2013"
"KAR",157,42.97,584,57.15,65.51,"KAR_2012/2013"
"DUK",185,44.88,575,54.5,70.52,"DUK_2012/2013"
"HRA",99,41.1,543,57.58,79.06,"HRA_2012/2013"
"LOV",133,39.45,488,52.17,70.32,"LOV_2012/2013"
"JIC",124,42.51,517,52.61,67.82,"JIC_2012/2013"
"PLZ",112,41.78,542,52.31,70.93,"PLZ_2012/2013"
"FRM",120,37.69,521,51.4,73.78,"FRM_2012/2013"
"BRN",104,45.64,639,53.56,74.52,"BRN_2012/2013"
"KOP",100,40.02,572,52.47,74.21,"KOP_2012/2013"
"PRE",99,35.99,487,49.29,70.29,"PRE_2012/2013"
"ZUB",225,38.03,537,56.21,70.08,"ZUB_2013/2014"
"KAR",133,42.42,613,55.44,72.64,"KAR_2013/2014"
"DUK",192,43.35,597,54.02,69.56,"DUK_2013/2014"
"HRA",95,47.17,735,61.06,87.77,"HRA_2013/2014"
"LOV",114,42.17,585,54.04,69.81,"LOV_2013/2014"
"JIC",118,40.34,512,50.62,77.39,"JIC_2013/2014"
"PLZ",115,43.57,532,55.35,68.53,"PLZ_2013/2014"
"FRM",97,41.47,608,50.26,74.4,"FRM_2013/2014"
"BRN",122,44.4,651,53.41,83.48,"BRN_2013/2014"
"KOP",164,40.92,683,51.37,72.56,"KOP_2013/2014"
"PRE",144,36.56,570,54.51,75.42,"PRE_2013/2014"
"ZLN",115,37.47,516,49.78,62.36,"ZLN_2013/2014"
"ZUB",160,39.89,517,56.52,74.6,"ZUB_2014/2015"
"KAR",92,39.22,590,52.56,73.68,"KAR_2014/2015"
"DUK",162,39.08,469,58.78,75.78,"DUK_2014/2015"
"HRA",84,43.99,597,58.22,75,"HRA_2014/2015"
"LOV",118,38.55,539,52.77,73.63,"LOV_2014/2015"
"JIC",178,39.48,402,52.4,65.21,"JIC_2014/2015"
"PLZ",135,43.38,541,56.74,72.47,"PLZ_2014/2015"
"FRM",106,40.86,548,49.53,75.89,"FRM_2014/2015"
"BRN",200,41.67,638,55.16,97.34,"BRN_2014/2015"
"LIT",130,38.16,477,51.55,69.99,"LIT_2014/2015"
"PRE",92,32.94,507,46.36,74.35,"PRE_2014/2015"
"ZLN",99,34.39,422,52.25,73.25,"ZLN_2014/2015"
"ZUB",198,39.96,516,59.55,73,"ZUB_2015/2016"
"KAR",118,38.01,514,52.63,70.28,"KAR_2015/2016"
"DUK",62,49.46,781,78.89,89.87,"DUK_2015/2016"
"HRA",96,41.83,594,55.26,83.83,"HRA_2015/2016"
"LOV",109,40.39,513,50.51,75.72,"LOV_2015/2016"
"JIC",128,35.62,414,51.04,77.38,"JIC_2015/2016"
"PLZ",143,42.76,547,60.19,75.23,"PLZ_2015/2016"
"FRM",76,41.64,548,50.49,75.23,"FRM_2015/2016"
"BRN",134,42.4,561,50.17,79.38,"BRN_2015/2016"
"LIT",98,35.67,431,52.87,80.73,"LIT_2015/2016"
"KOP",89,40.66,579,51.32,72.79,"KOP_2015/2016"
"ZLN",76,31.85,382,49.72,69.13,"ZLN_2015/2016"
"ZUB",223,43.15,621,63.82,76.22,"ZUB_2016/2017"
"KAR",143,34.97,497,55.09,78.88,"KAR_2016/2017"
"DUK",157,39.51,533,60.42,85.98,"DUK_2016/2017"
"HRA",83,35.78,453,54.23,82.29,"HRA_2016/2017"
"LOV",199,40.43,664,54.84,74.74,"LOV_2016/2017"
"JIC",129,35.19,415,50.95,77.01,"JIC_2016/2017"
"PLZ",175,44.84,644,61.59,71.42,"PLZ_2016/2017"
"FRM",48,35.98,461,53.36,72.18,"FRM_2016/2017"
"BRN",129,35.61,448,52.78,76.47,"BRN_2016/2017"
"LIT",129,33.08,436,53.29,67.04,"LIT_2016/2017"
"KOP",131,39.71,552,50.87,64.44,"KOP_2016/2017"
"NOV",70,38.98,508,53.13,73.78,"NOV_2016/2017"
"ZUB",253,38.96,558,57.85,71.09,"ZUB_2017/2018"
"KAR",203,39.56,567,61.82,76.37,"KAR_2017/2018"
"DUK",82,36.53,426,62.62,78.35,"DUK_2017/2018"
"HRA",87,34.65,410,55.72,71.59,"HRA_2017/2018"
"LOV",187,38.74,597,54.42,72.27,"LOV_2017/2018"
"JIC",98,34.19,396,54.02,80.64,"JIC_2017/2018"
"PLZ",109,39.67,559,58.61,73.25,"PLZ_2017/2018"
"FRM",142,33.87,417,54.4,68.33,"FRM_2017/2018"
"BRN",130,35.78,463,52.94,75,"BRN_2017/2018"
"STR",171,26.09,310,57.65,73.73,"STR_2017/2018"
"KOP",158,33.15,432,58.89,67.18,"KOP_2017/2018"
"NOV",154,40.38,483,53.24,70.11,"NOV_2017/2018"
