"Home.Team.Name","Away.Team.Name","Home.Team.Goals","Away.Team.Goals"
"M.A.T. Plzen","Dukla Praha",22,24
"M.A.T. Plzen","Dukla Praha",34,19
"Dukla Praha","M.A.T. Plzen",28,23
"Dukla Praha","M.A.T. Plzen",27,26
"HC ROBE Zubrí","HK FCC Mesto Lovosice",34,20
"HC ROBE Zubrí","HK FCC Mesto Lovosice",33,24
"HK FCC Mesto Lovosice","HC ROBE Zubrí",31,29
"HK FCC Mesto Lovosice","HC ROBE Zubrí",22,32
"HBC Ronal Jicín","Pepino SKP Frýdek-Místek",26,27
"Pepino SKP Frýdek-Místek","HBC Ronal Jicín",21,22
"SKKP Handball Brno","HCB Karviná",29,30
"HCB Karviná","SKKP Handball Brno",33,30
"M.A.T. Plzen","HK FCC Mesto Lovosice",34,26
"M.A.T. Plzen","HK FCC Mesto Lovosice",29,23
"HC ROBE Zubrí","Dukla Praha",28,29
"HC ROBE Zubrí","Dukla Praha",20,26
"Dukla Praha","HC ROBE Zubrí",28,24
"HK FCC Mesto Lovosice","M.A.T. Plzen",23,32
"Pepino SKP Frýdek-Místek","SKKP Handball Brno",29,28
"HBC Ronal Jicín","HCB Karviná",30,25
"HCB Karviná","HBC Ronal Jicín",24,23
"SKKP Handball Brno","Pepino SKP Frýdek-Místek",29,29
"Dukla Praha","SKKP Handball Brno",34,20
"HK FCC Mesto Lovosice","HCB Karviná",31,29
"HC ROBE Zubrí","Pepino SKP Frýdek-Místek",23,19
"M.A.T. Plzen","HBC Ronal Jicín",26,23
"Dukla Praha","SKKP Handball Brno",29,19
"HK FCC Mesto Lovosice","HCB Karviná",32,20
"M.A.T. Plzen","HBC Ronal Jicín",34,24
"HC ROBE Zubrí","Pepino SKP Frýdek-Místek",33,27
"SKKP Handball Brno","Dukla Praha",25,35
"HCB Karviná","HK FCC Mesto Lovosice",35,31
"HBC Ronal Jicín","M.A.T. Plzen",24,27
"Pepino SKP Frýdek-Místek","HC ROBE Zubrí",24,31
"HCB Karviná","HK FCC Mesto Lovosice",31,27
"HK FCC Mesto Lovosice","HCB Karviná",35,24
"Sokol Nové Veselí","Cement Hranice",28,25
"Tatran Litovel","Koprivnice",33,31
"Cement Hranice","Tatran Litovel",29,22
"Koprivnice","Sokol Nové Veselí",23,29
"Tatran Litovel","Sokol Nové Veselí",27,34
"Cement Hranice","Koprivnice",24,25
"Cement Hranice","Sokol Nové Veselí",24,23
"Koprivnice","Tatran Litovel",25,25
"Sokol Nové Veselí","Koprivnice",35,24
"Tatran Litovel","Cement Hranice",24,26
"Koprivnice","Cement Hranice",23,25
"Sokol Nové Veselí","Tatran Litovel",25,22
"Dukla Praha","Tatran Litovel",40,18
"HC ROBE Zubrí","Koprivnice",29,23
"Pepino SKP Frýdek-Místek","HCB Karviná",35,29
"Cement Hranice","HBC Ronal Jicín",27,30
"SKKP Handball Brno","M.A.T. Plzen",26,34
"Sokol Nové Veselí","HK FCC Mesto Lovosice",26,29
"HBC Ronal Jicín","M.A.T. Plzen",23,26
"HCB Karviná","Cement Hranice",39,31
"HK FCC Mesto Lovosice","Pepino SKP Frýdek-Místek",28,32
"Tatran Litovel","Sokol Nové Veselí",27,31
"Koprivnice","Dukla Praha",30,34
"SKKP Handball Brno","HC ROBE Zubrí",28,28
"M.A.T. Plzen","HCB Karviná",35,26
"Cement Hranice","HK FCC Mesto Lovosice",26,28
"Dukla Praha","SKKP Handball Brno",27,21
"Tatran Litovel","Koprivnice",37,37
"HC ROBE Zubrí","HBC Ronal Jicín",30,25
"Sokol Nové Veselí","Pepino SKP Frýdek-Místek",33,22
"HBC Ronal Jicín","Dukla Praha",21,23
"HK FCC Mesto Lovosice","M.A.T. Plzen",22,29
"SKKP Handball Brno","Tatran Litovel",30,26
"Koprivnice","Sokol Nové Veselí",37,28
"HCB Karviná","HC ROBE Zubrí",25,19
"Pepino SKP Frýdek-Místek","Cement Hranice",33,26
"HC ROBE Zubrí","HK FCC Mesto Lovosice",36,20
"Dukla Praha","HCB Karviná",36,31
"Tatran Litovel","HBC Ronal Jicín",31,24
"Koprivnice","SKKP Handball Brno",26,24
"Sokol Nové Veselí","Cement Hranice",29,24
"M.A.T. Plzen","Pepino SKP Frýdek-Místek",39,28
"HK FCC Mesto Lovosice","Dukla Praha",33,30
"SKKP Handball Brno","Sokol Nové Veselí",25,24
