"Local.Match.ID","Home.Team.Name","Away.Team.Name","Home.Team.Goals","Away.Team.Goals","Match.Date","Attendance","Referees","Home.Coach","Home.Assistant","Away.Coach","Away.Assistant","Phase","Season","CT.Broadcast","Home.Team.Halftime.Goals","Away.Team.Halftime.Goals","Home.Team.7m.Goals","Away.Team.7m.Goals"
1,"Prerov","Karviná",29,30,"23.5.2012",100,"Vangelis Simu, Jirí Novotný","Miroslav Frank","Jirí Mužík","Rastislav Trtík","Roman Farár","1till6placeMatch","2011/2012",0,17,10,2,2
2,"Dukla","Lovosice",25,26,"26.5.2012",318,"Jirí Opava, Pavel Válek","Pavel Pauza","Milan Kotrc","Vojtech Srba","Pavel Haken","1till6placeMatch","2011/2012",0,10,12,2,3
3,"Zubrí","Jicín",30,21,"27.5.2012",1500,"Michal Hanák, Petr Novák","Jirí Mika","Michal Balhárek","Aleš Babák","Petr Kyncl","1till6placeMatch","2011/2012",1,16,8,0,0
4,"Lovosice","Prerov",31,27,"18.5.2012",682,"Lubomír Kohout, Vladimír Vaník","Vojtech Srba","Milan Berka","Miroslav Frank","Richard Bucek","1till6placeMatch","2011/2012",0,16,8,0,2
5,"Karviná","Zubrí",31,29,"19.5.2012",720,"Václav Horácek, Jirí Novotný","Rastislav Trtík","Roman Farár","Jirí Mika","Michal Balhárek","1till6placeMatch","2011/2012",0,16,10,3,1
6,"Jicín","Dukla",25,25,"20.5.2012",480,"Radoslav Kavulic, Libor Skružný","Aleš Babák","Petr Kyncl","Pavel Pauza","Jan Krouský","1till6placeMatch","2011/2012",1,16,13,1,3
7,"Lovosice","Jicín",30,23,"11.5.2012",515,"Radoslav Kavulic, Libor Skružný","Vojtech Srba","Pavel Haken","Aleš Babák","Petr Kyncl","1till6placeMatch","2011/2012",0,9,14,1,3
8,"Dukla","Karviná",26,27,"12.5.2012",185,"Milan Hájek, Karel Macho","Pavel Pauza","Milan Kotrc","Rastislav Trtík","Martin Kostelník","1till6placeMatch","2011/2012",0,13,13,2,1
9,"Prerov","Zubrí",19,28,"13.5.2012",235,"Luboš Pavlícek, Rostislav Tokoš","Miroslav Frank","Jirí Mužík","Jirí Mika","Michal Balhárek","1till6placeMatch","2011/2012",0,6,14,2,3
10,"Jicín","Prerov",25,21,"7.5.2012",515,"Jirí Vetrovský, Martin Zych","Aleš Babák","Petr Kyncl","Miroslav Frank","Richard Bucek","1till6placeMatch","2011/2012",0,11,11,3,1
11,"Zubrí","Dukla",37,34,"8.5.2012",1100,"Václav Horácek, Jirí Novotný","Jirí Mika","Michal Balhárek","Pavel Pauza","Jan Krouský","1till6placeMatch","2011/2012",1,20,16,6,5
12,"Karviná","Lovosice",28,22,"8.5.2012",506,"Marek Becicka, Jirí Horák","Rastislav Trtík","Roman Farár","Vojtech Srba","Pavel Haken","1till6placeMatch","2011/2012",0,13,12,2,3
13,"Lovosice","Zubrí",27,23,"5.5.2012",780,"Michal Hanák, Petr Novák","Vojtech Srba","Pavel Haken","Jirí Mika","Michal Balhárek","1till6placeMatch","2011/2012",0,18,7,4,1
14,"Prerov","Dukla",24,29,"6.5.2012",126,"Radoslav Kavulic, Libor Skružný","Miroslav Frank","Jirí Mužík","Pavel Pauza","Jan Krouský","1till6placeMatch","2011/2012",0,11,19,1,1
15,"Jicín","Karviná",32,23,"6.5.2012",600,"Bedrich Frieser, Lukáš Frieser","Aleš Babák","Petr Kyncl","Rastislav Trtík","Roman Farár","1till6placeMatch","2011/2012",0,14,9,3,3
16,"Lovosice","Dukla",26,21,"1.5.2012",600,"Václav Horácek, Jirí Novotný","Vojtech Srba","Pavel Haken","Pavel Pauza","Milan Kotrc","1till6placeMatch","2011/2012",1,15,13,3,0
17,"Jicín","Zubrí",27,27,"1.5.2012",599,"Milan Hájek, Karel Macho","Petr Babák","Petr Kyncl","Jirí Mika","Michal Balhárek","1till6placeMatch","2011/2012",0,12,16,3,3
18,"Karviná","Prerov",40,29,"1.5.2012",360,"Pavel Novotný, Petr Samek","Rastislav Trtík","Roman Farár",,"Jirí Mužík","1till6placeMatch","2011/2012",0,24,14,0,0
19,"Prerov","Lovosice",24,32,"27.4.2012",113,"Jirí Novotný, Vangelis Simu","Miroslav Frank","Jirí Mužík","Vojtech Srba","Pavel Haken","1till6placeMatch","2011/2012",0,13,16,2,2
20,"Dukla","Jicín",34,24,"28.4.2012",115,"Marek Becicka, Jirí Horák","Pavel Pauza","Milan Kotrc","Aleš Babák","Petr Kyncl","1till6placeMatch","2011/2012",0,18,12,3,3
21,"Zubrí","Karviná",27,27,"29.4.2012",800,"Jirí Opava, Pavel Válek","Jirí Mika","Michal Balhárek","Rastislav Trtík","Roman Farár","1till6placeMatch","2011/2012",1,11,13,9,4
22,"Jicín","Lovosice",26,26,"20.4.2012",560,"Jirí Opava, Pavel Válek","Aleš Babák","Petr Kyncl","Vojtech Srba","Pavel Haken","1till6placeMatch","2011/2012",0,12,13,4,2
23,"Karviná","Dukla",22,28,"21.4.2012",758,"Radoslav Kavulic, Libor Skružný","Rastislav Trtík","Roman Farár","Pavel Pauza","Milan Kotrc","1till6placeMatch","2011/2012",1,8,13,2,1
24,"Zubrí","Prerov",26,19,"22.4.2012",700,"Petr Halada, Dalibor Pavlát","Jirí Mika","Michal Balhárek","Miroslav Frank","Jirí Mužík","1till6placeMatch","2011/2012",0,15,9,1,2
25,"Dukla","Zubrí",25,29,"18.4.2012",450,"Jirí Opava, Pavel Válek","Pavel Pauza","Milan Kotrc","Jirí Mika","Michal Balhárek","1till6placeMatch","2011/2012",0,13,14,4,3
26,"Lovosice","Karviná",33,28,"18.4.2012",420,"Milan Hájek, Karel Macho","Vojtech Srba","Pavel Haken","Rastislav Trtík","Roman Farár","1till6placeMatch","2011/2012",0,13,12,3,3
27,"Prerov","Jicín",28,39,"18.4.2012",148,"Bedrich Frieser, Lukáš Frieser","Miroslav Frank","Jirí Mužík","Aleš Babák","Petr Kyncl","1till6placeMatch","2011/2012",0,13,18,3,0
28,"Dukla","Prerov",36,22,"14.4.2012",135,"Bedrich Frieser, Lukáš Frieser","Pavel Pauza","Milan Kotrc","Miroslav Frank","Richard Bucek","1till6placeMatch","2011/2012",0,19,12,1,2
29,"Zubrí","Lovosice",27,19,"14.4.2012",800,"Václav Horácek, Jirí Novotný","Jirí Mika","Michal Balhárek","Vojtech Srba","Pavel Haken","1till6placeMatch","2011/2012",0,14,9,1,3
30,"Karviná","Jicín",35,30,"15.4.2012",760,"Michal Hanák, Petr Novák","Rastislav Trtík","Roman Farár","Aleš Babák","Petr Kyncl","1till6placeMatch","2011/2012",1,19,12,5,2
31,"Koprivnice","Plzen",26,27,"23.4.2012",150,"Luboš Pavlícek, Rostislav Tokoš","Miroslav Barton","Ivo Vávra","Martin Šetlík","Stanislav Raizl","7till12placeMatch","2011/2012",0,14,17,3,5
32,"Hranice","Brno",33,31,"26.5.2012",90,"Vangelis Simu, Rostislav Tokoš","Libor Hrabal","Martin Potiška","Jan Hegar","Martin Kabrna","7till12placeMatch","2011/2012",0,15,20,6,1
33,"Trebon","Frýdek-Místek",22,40,"26.5.2012",55,"Bedrich Frieser, Lukáš Frieser","Jan Pavlovský","Zdenek Kubík","Jirí Kekrt","Petr Mazur","7till12placeMatch","2011/2012",0,9,23,4,4
34,"Brno","Plzen",22,25,"19.5.2012",48,"Luboš Pavlícek, Rostislav Tokoš","Jan Hegar","Filip Hruza","Martin Šetlík","Stanislav Raizl","7till12placeMatch","2011/2012",0,14,14,5,0
