"Home.Team.Name","Away.Team.Name","Home.Team.Goals","Away.Team.Goals","Match.Date","Halftime.Score","Attendance","Seven.m.goals","Referees","Home.Coach","Home.Assistant","Away.Coach","Away.Assistant","Phase"
"Dukla Praha","M.A.T. Plzen",22,23,"21.5.2016","12 : 11","1000","1 : 1","Jirí Opava, Pavel Válek","Jan Josef","Jirí Kotrc","Martin Šetlík","Stanislav Raizl","FinalsMatch"
"Dukla Praha","M.A.T. Plzen",25,21,"22.5.2016","11 : 8","500","4 : 3","Václav Horácek, Jirí Novotný","Jan Josef","Jirí Kotrc","Martin Šetlík","Stanislav Raizl","FinalsMatch"
"M.A.T. Plzen","Dukla Praha",27,17,"28.5.2016","16 : 7","1420","2 : 3","Jirí Opava, Pavel Válek","Martin Šetlík","Stanislav Raizl","Jan Josef","Jirí Kotrc","FinalsMatch"
"M.A.T. Plzen","Dukla Praha",24,19,"29.5.2016","11 : 10","1650","3 : 3","Václav Horácek, Jirí Novotný","Martin Šetlík","Stanislav Raizl","Jan Josef","Jirí Kotrc","FinalsMatch"
"Cement Hranice","Baník OKD Karviná",28,35,"21.5.2016","13 : 19","140","2 : 4","Milan Hájek, Karel Macho","Libor Hrabal","Martin Schober","Radek Bartošic","Zdenek Mrózek","3rdPlaceMatch"
"Cement Hranice","Baník OKD Karviná",26,19,"22.5.2016","11 : 10","175","1 : 3","Michal Nezbeda, Václav Zelenka","Libor Hrabal","Martin Potiška","Radek Bartošic","Zdenek Mrózek","3rdPlaceMatch"
"Baník OKD Karviná","Cement Hranice",20,25,"28.5.2016","9 : 10","860","3 : 1","Marek Becicka, Tomáš Bubenícek","Radek Bartošic","Petr Raszyk","Libor Hrabal","Martin Schober","3rdPlaceMatch"
"Baník OKD Karviná","Cement Hranice",33,35,"29.5.2016","14 : 16","637","7 : 6","Premysl Fukala, Radek Mohyla","Radek Bartošic","Petr Raszyk","Libor Hrabal","Martin Potiška","3rdPlaceMatch"
"HK FCC Mesto Lovosice","HC Zubrí",26,24,"11.5.2016","12 : 14","238","2 : 2","Tomáš Kozler, Martin Zych","Vladimír Šuma","Pavel Haken","Andrej Titkov","Pavel Hrachovec","5thPlaceMatch"
"HC Zubrí","HK FCC Mesto Lovosice",34,30,"14.5.2016","18 : 15","650","4 : 2","Premysl Fukala, Radek Mohyla","Andrej Titkov","Pavel Hrachovec","Vladimír Šuma","Radek Provinský","5thPlaceMatch"
"HBC Ronal Jicín","SKP Frýdek-Místek",32,26,"14.5.2016","18 : 10","300","1 : 3","Pavel Blanar, Michael Haramul","Aleš Babák","Petr Kyncl","Aleš Chrastina","Petr Mazur","7thPlaceMatch"
"SKP Frýdek-Místek","HBC Ronal Jicín",27,23,"18.5.2016","12 : 5","243","4 : 3","Marek Becicka, Tomáš Bubenícek","Aleš Chrastina","Petr Mazur","Aleš Babák","Petr Kyncl","7thPlaceMatch"
"M.A.T. Plzen","Cement Hranice",34,21,"30.4.2016","16 : 9","958","2 : 1","Marek Becicka, Tomáš Bubenícek","Martin Šetlík","Stanislav Raizl","Libor Hrabal","Martin Schober","SemifinalsMatch"
"M.A.T. Plzen","Cement Hranice",33,21,"1.5.2016","14 : 10","1030","5 : 1","Jirí Opava, Pavel Válek","Martin Šetlík","Stanislav Raizl","Libor Hrabal","Martin Schober","SemifinalsMatch"
"Cement Hranice","M.A.T. Plzen",23,24,"7.5.2016","13 : 11","270","2 : 3","Václav Horácek, Jirí Novotný","Libor Hrabal","Martin Schober","Martin Šetlík","Stanislav Raizl","SemifinalsMatch"
"Dukla Praha","Baník OKD Karviná",31,21,"7.5.2016","13 : 10","175","1 : 5","Michal Nezbeda, Václav Zelenka","Jan Josef","Jirí Kotrc","Radek Bartošic","Petr Raszyk","SemifinalsMatch"
"Dukla Praha","Baník OKD Karviná",27,25,"8.5.2016","13 : 13","182","2 : 3","Václav Horácek, Jirí Novotný","Jan Josef","Jirí Kotrc","Radek Bartošic","Petr Raszyk","SemifinalsMatch"
"Baník OKD Karviná","Dukla Praha",24,28,"14.5.2016","10 : 12","903","3 : 4","Lukáš Frieser, Radoslav Kavulic","Radek Bartošic","Petr Raszyk","Jan Josef","Jirí Kotrc","SemifinalsMatch"
"HK FCC Mesto Lovosice","SKP Frýdek-Místek",23,18,"30.4.2016","7 : 10","284","3 : 0","Marek Becicka, Tomáš Bubenícek","Vladimír Šuma","Pavel Haken","Aleš Chrastina","Petr Mazur","5till8placeMatch"
"HBC Ronal Jicín","HC Zubrí",21,30,"4.5.2016","12 : 19","300","2 : 1","Lukáš Frieser, Radoslav Kavulic","Aleš Babák","Petr Kyncl","Andrej Titkov","Pavel Hrachovec","5till8placeMatch"
"HC Zubrí","HBC Ronal Jicín",30,28,"7.5.2016","15 : 8","0","4 : 0","Jirí Králícek, Milan Letev","Andrej Titkov","Pavel Hrachovec","Aleš Babák","Petr Kyncl","5till8placeMatch"
"SKP Frýdek-Místek","HK FCC Mesto Lovosice",26,24,"8.5.2016","16 : 12","310","2 : 2","Mojmír Valášek, Jaroslav Vychodil","Aleš Chrastina","Petr Mazur","Vladimír Šuma","Pavel Haken","5till8placeMatch"
"Cement Hranice","SKP Frýdek-Místek",26,20,"16.4.2016","16 : 13","380","1 : 1","Lukáš Frieser, Radoslav Kavulic","Libor Hrabal","Martin Schober","Aleš Chrastina","Petr Mazur","QuarterfinalsMatch"
"M.A.T. Plzen","HK FCC Mesto Lovosice",28,14,"16.4.2016","12 : 5","0","3 : 6","Jirí Opava, Pavel Válek","Martin Šetlík","Stanislav Raizl","Vladimír Šuma","Pavel Haken","QuarterfinalsMatch"
"Dukla Praha","HBC Ronal Jicín",24,23,"16.4.2016","13 : 10","245","4 : 2","Tomáš Kozler, Martin Zych","Jan Josef","Jirí Kotrc","Aleš Babák","Petr Kyncl","QuarterfinalsMatch"
"HC Zubrí","Baník OKD Karviná",28,29,"16.4.2016","15 : 15","1300","3 : 3","Michal Nezbeda, Václav Zelenka","Andrej Titkov","Pavel Hrachovec","Radek Bartošic","Zdenek Mrózek","QuarterfinalsMatch"
"Cement Hranice","SKP Frýdek-Místek",23,19,"17.4.2016","14 : 11","470","5 : 4","Václav Horácek, Jirí Novotný","Libor Hrabal","Martin Schober","Aleš Chrastina","Petr Mazur","QuarterfinalsMatch"
"M.A.T. Plzen","HK FCC Mesto Lovosice",20,19,"17.4.2016","10 : 10","1240","3 : 3","Bohumil Bruna, Petr Halada","Martin Šetlík","Stanislav Raizl","Vladimír Šuma","Pavel Haken","QuarterfinalsMatch"
"Dukla Praha","HBC Ronal Jicín",34,24,"17.4.2016","14 : 11","230","0 : 5","Jirí Opava, Pavel Válek","Jan Josef","Jirí Kotrc","Aleš Babák","Petr Kyncl","QuarterfinalsMatch"
"HC Zubrí","Baník OKD Karviná",27,28,"17.4.2016","15 : 16","1200","4 : 2","Martin Kosa, Pavel Švidernoch","Andrej Titkov","Pavel Hrachovec","Radek Bartošic","Zdenek Mrózek","QuarterfinalsMatch"
"HK FCC Mesto Lovosice","M.A.T. Plzen",20,28,"23.4.2016","11 : 14","892","2 : 1","Michal Hanák, Luboš Pavlícek","Vladimír Šuma","Pavel Haken","Martin Šetlík","Stanislav Raizl","QuarterfinalsMatch"
"SKP Frýdek-Místek","Cement Hranice",26,29,"23.4.2016","14 : 16","498","2 : 1","Marek Becicka, Tomáš Bubenícek","Aleš Chrastina","Petr Mazur","Libor Hrabal","Martin Potiška","QuarterfinalsMatch"
"Baník OKD Karviná","HC Zubrí",26,21,"23.4.2016","19 : 10","1170","1 : 0","Lukáš Frieser, Radoslav Kavulic","Radek Bartošic","Petr Raszyk","Andrej Titkov","Pavel Hrachovec","QuarterfinalsMatch"
"HBC Ronal Jicín","Dukla Praha",28,27,"27.4.2016","15 : 11","690","1 : 1","Václav Horácek, Jirí Novotný","Aleš Babák","Petr Kyncl","Jan Josef","Jirí Kotrc","QuarterfinalsMatch"
"HBC Ronal Jicín","Dukla Praha",26,28,"28.4.2016","12 : 14","685","2 : 3","Jirí Opava, Pavel Válek","Aleš Babák","Petr Kyncl","Jan Josef","Jirí Kotrc","QuarterfinalsMatch"
"Tatran Litovel","KP Brno",32,30,"7.5.2016","14 : 15","205","6 : 6","Premysl Fukala, Radek Mohyla","Jaroslav Hudecek","Jirí Macek","David Novotný","Pavel Cejka","9till12placeMatch"
"KP Brno","Tatran Litovel",27,32,"14.5.2016","13 : 17","158","3 : 1","Pavel Pluhar, Tomáš Suchánek","David Novotný","Pavel Cejka","Jaroslav Hudecek","Jirí Macek","9till12placeMatch"
"Koprivnice","HC Zlín",27,25,"7.5.2016","17 : 13","190","5 : 1","Lukáš Frieser, Radoslav Kavulic","Ivo Vávra","Igor Fulnek","Milan Buday","Petr Novák","9till12placeMatch"
"Koprivnice","HC Zlín",34,33,"8.5.2016","16 : 11","240","8 : 4","Michal Hanák, Luboš Pavlícek","Ivo Vávra","Igor Fulnek","Milan Buday","Petr Novák","9till12placeMatch"
"HC Zlín","Koprivnice",22,25,"14.5.2016","11 : 13","0","0 : 3","Marek Becicka, Tomáš Bubenícek","Milan Buday","Petr Novák","Ivo Vávra","Igor Fulnek","9till12placeMatch"
