"Local.Match.ID","Home.Team.Init","Away.Team.Init","Home.Team.Name","Away.Team.Name","Match.Date","Home.Team.Goals","Away.Team.Goals","Attendance","Referees","Home.Coach","Home.Assistant","Away.Coach","Away.Assistant","Home.Team.Halftime.Goals","Away.Team.Halftime.Goals","Home.Team.7m.Goals","Away.Team.7m.Goals"
1,"KAR","LOV","HCB Karviná","HK FCC Mesto Lovosice",2018-11-21,33,32,"712","Milan Hájek, Karel Macho","Marek Michalisko","Jirí Tabara","Roman Jelínek","Pavel Haken",14,13,4,2
2,"BRN","JIC","SKKP Handball Brno","HBC Ronal Jicín",2018-11-21,28,26,"342","Marek Becicka, Jirí Horák","Andrej Titkov","Pavel Cejka","Aleš Babák","Petr Kyncl",12,11,2,6
3,"KOP","DUK","KH Koprivnice","HC Dukla Praha",2018-11-24,31,22,"530","Jirí Králícek, Milan Letev","Lubomír Vermirovský","Igor Fulnek","Daniel Curda","Jirí Kotrc",16,11,4,2
4,"ZUB","HRA","HC ROBE Zubrí","TJ Cement Hranice",2018-11-24,24,21,"915","Tomáš Kozler, Martin Zych","Dušan Poloz","Zbynek Mizera","Libor Hrabal","Tomáš Pernicka",13,12,3,0
5,"PLZ","NOV","Talent ROBSTAV-M.A.T.Plzen","TJ Sokol Nové Veselí",2018-11-25,26,22,"820","Michal Hanák, Luboš Pavlícek","Michal Tonar","Stanislav Raizl","Pavel Hladík","Stanislav Krcál",10,13,2,1
6,"FRM","LIT","Pepino SKP Frýdek-Místek","TJ Tatran Litovel",2018-11-25,38,26,"232","Adam Baader, Jirí Novotný","Lubomír Kavka","Petr Mazur","Ivo Vávra","Jirí Macek",21,13,3,0
7,"HRA","FRM","TJ Cement Hranice","Pepino SKP Frýdek-Místek",2018-11-17,25,33,"153","Tomáš Bubenícek, Tomáš Petruška","Libor Hrabal","Tomáš Pernicka","Lubomír Kavka","Petr Mazur",12,14,3,1
8,"LIT","PLZ","TJ Tatran Litovel","Talent ROBSTAV-M.A.T.Plzen",2018-11-17,21,37,"214","Mojmír Valášek, Jaroslav Vychodil","Ivo Vávra","Jirí Macek","Michal Tonar","Stanislav Raizl",12,19,4,7
9,"NOV","KOP","TJ Sokol Nové Veselí","KH Koprivnice",2018-11-17,26,25,"380","Václav Horácek, Jirí Novotný","Pavel Hladík","Stanislav Krcál","Lubomír Vermirovský","Igor Fulnek",16,14,0,6
10,"JIC","ZUB","HBC Ronal Jicín","HC ROBE Zubrí",2018-11-17,32,29,"690","Tomáš Kozler, Martin Zych","Aleš Babák","Petr Kyncl","Dušan Poloz","Zbynek Mizera",16,15,1,5
11,"LOV","BRN","HK FCC Mesto Lovosice","SKKP Handball Brno",2018-11-17,39,34,"537","Jirí Králícek, Milan Letev","Roman Jelínek","Pavel Haken","Andrej Titkov","Vít Kucera",17,16,1,3
12,"DUK","KAR","HC Dukla Praha","HCB Karviná",2019-02-20,27,28,"150","Jirí Opava, Pavel Válek","Daniel Curda","Jirí Kotrc","Marek Michalisko","Jirí Tabara",14,13,1,1
13,"ZUB","LOV","HC ROBE Zubrí","HK FCC Mesto Lovosice",2018-11-07,29,26,"562","Václav Horácek, Jirí Novotný","Dušan Poloz","Zbynek Mizera","Roman Jelínek","Pavel Haken",12,14,1,2
14,"NOV","DUK","TJ Sokol Nové Veselí","HC Dukla Praha",2018-11-10,25,22,"400","Milan Hájek, Karel Macho","Pavel Hladík","Stanislav Krcál","Daniel Curda","Jirí Kotrc",12,12,2,4
15,"KOP","LIT","KH Koprivnice","TJ Tatran Litovel",2018-11-10,33,14,"480","Michal Hanák, Luboš Pavlícek","Lubomír Vermirovský","Igor Fulnek","Ivo Vávra","Jirí Macek",16,5,1,2
16,"BRN","KAR","SKKP Handball Brno","HCB Karviná",2018-11-10,22,31,"461","Tomáš Kozler, Martin Zych","Andrej Titkov","Vít Kucera","Marek Michalisko","Jirí Tabara",9,16,2,0
17,"PLZ","HRA","Talent ROBSTAV-M.A.T.Plzen","TJ Cement Hranice",2018-11-11,35,25,"540","Marek Becicka, Jirí Horák","Michal Tonar","Stanislav Raizl","Libor Hrabal","Tomáš Pernicka",17,14,1,4
18,"FRM","JIC","Pepino SKP Frýdek-Místek","HBC Ronal Jicín",2018-11-11,36,30,"227","Jirí Králícek, Milan Letev","Lubomír Kavka","Petr Mazur","Aleš Babák","Petr Kyncl",17,15,3,4
19,"HRA","KOP","TJ Cement Hranice","KH Koprivnice",2018-11-03,23,28,"274","Lukáš Frieser, Radoslav Kavulic","Libor Hrabal","Martin Potiška","Lubomír Vermirovský","Igor Fulnek",12,15,1,0
20,"DUK","BRN","HC Dukla Praha","SKKP Handball Brno",2018-11-03,34,21,"490","Dalibor Pavlát, Ludek Tocík","Daniel Curda","Jirí Kotrc","Andrej Titkov","Vít Kucera",16,10,1,0
21,"LOV","FRM","HK FCC Mesto Lovosice","Pepino SKP Frýdek-Místek",2018-11-03,35,29,"477","Michal Hanák, Luboš Pavlícek","Roman Jelínek","Pavel Haken","Lubomír Kavka","Petr Mazur",13,16,2,1
